'time 1'	em1
3623.22	-35.1687
3623.22	-34.8989
3623.22	-34.8923
3623.22	-34.9647
3623.22	-35.0108
3623.22	-35.0108
3623.22	-34.8397
3623.22	-34.6357
3623.22	-34.8726
3623.22	-34.9647
3623.23	-35.0963
3623.23	-35.1062
3623.23	-35.1753
3623.23	-35.5208
3623.23	-35.5965
3623.23	-35.8005
3623.23	-35.5702
3623.23	-35.5011
3623.23	-35.4452
3623.23	-35.432
3623.24	-35.3695
3623.24	-35.2247
3623.24	-35.3102
3623.24	-35.2773
3623.24	-35.0766
3623.24	-35.4517
3623.24	-35.5669
3623.24	-35.7183
3623.24	-35.659
3623.24	-35.636
3623.25	-35.7479
3623.25	-35.5472
3623.25	-35.6163
3623.25	-35.2839
3623.25	-35.4057
3623.25	-35.5768
3623.25	-35.6623
3623.25	-35.5965
3623.25	-35.5735
3623.25	-35.636
3623.26	-35.4517
3623.26	-35.3135
3623.26	-35.3892
3623.26	-35.5208
3623.26	-35.5636
3623.26	-35.794
3623.26	-35.8795
3623.26	-35.8433
3623.26	-35.8433
3623.26	-35.7183
3623.27	-35.613
3623.27	-35.5636
3623.27	-35.33
3623.27	-35.5011
3623.27	-35.4945
3623.27	-35.7446
3623.27	-35.6887
3623.27	-35.6525
3623.27	-35.8466
3623.27	-35.8795
3623.28	-35.8532
3623.28	-36.0144
3623.28	-35.9124
3623.28	-36.0802
3623.28	-36.1164
3623.28	-35.9486
3623.28	-35.7249
3623.28	-35.6492
3623.28	-35.8236
3623.28	-35.7249
3623.29	-35.84
3623.29	-35.9256
3623.29	-35.9124
3623.29	-35.8334
3623.29	-35.7413
3623.29	-36.0934
3623.29	-36.0506
3623.29	-36.0309
3623.29	-36.1296
3623.29	-36.1526
3623.3	-36.1033
3623.3	-36.2382
3623.3	-36.327
3623.3	-36.1362
3623.3	-35.9552
3623.3	-35.919
3623.3	-35.8367
3623.3	-35.9256
3623.3	-35.84
3623.3	-35.6228
3623.31	-35.7611
3623.31	-35.8203
3623.31	-35.8631
3623.31	-35.9618
3623.31	-35.9223
3623.31	-35.9947
3623.31	-36.1625
3623.31	-36.0901
3623.31	-36.0704
3623.31	-35.7578
3623.32	-35.7479
3623.32	-35.942
3623.32	-36.0835
3623.32	-35.9256
3623.32	-35.9848
3623.32	-35.9684
3623.32	-36.0539
3623.32	-35.998
3623.32	-36.1099
3623.32	-36.1
3623.33	-36.2711
3623.33	-36.4159
3623.33	-36.5903
3623.33	-36.5804
3623.33	-36.5212
3623.33	-36.7417
3623.33	-36.7351
3623.33	-36.5245
3623.33	-36.6298
3623.33	-36.5936
3623.34	-36.6034
3623.34	-36.4521
3623.34	-36.4422
3623.34	-36.3896
3623.34	-36.1724
3623.34	-36.3501
3623.34	-36.5278
3623.34	-36.7746
3623.34	-36.791
3623.34	-36.8733
3623.35	-36.9161
3623.35	-37.0937
