time2	zEm3
3725.55	-45.5802
3725.55	-45.6493
3725.55	-45.5736
3725.55	-45.6954
3725.55	-45.725
3725.55	-45.8797
3725.55	-45.8961
3725.55	-46.0804
3725.56	-46.0771
3725.56	-45.9257
3725.56	-45.9948
3725.56	-45.8435
3725.56	-45.6888
3725.56	-45.7283
3725.56	-45.6033
3725.56	-45.521
3725.56	-45.4058
3725.56	-45.5802
3725.57	-45.4683
3725.57	-45.5769
3725.57	-45.6987
3725.57	-45.8468
3725.57	-45.9389
3725.57	-45.9554
3725.57	-46.0343
3725.57	-46.0245
3725.57	-46.0672
3725.57	-45.8237
3725.58	-45.7151
3725.58	-46.0047
3725.58	-45.9718
3725.58	-45.9784
3725.58	-45.8237
3725.58	-45.7645
3725.58	-45.7974
3725.58	-45.7875
3725.58	-46.0541
3725.58	-46.2351
3725.59	-46.166
3725.59	-46.3107
3725.59	-46.3469
3725.59	-46.4391
3725.59	-46.4128
3725.59	-46.2054
3725.59	-45.9718
3725.59	-45.9521
3725.59	-45.8435
3725.59	-45.8665
3725.6	-45.8632
3725.6	-45.7415
3725.6	-45.8139
3725.6	-45.9257
3725.6	-45.7842
3725.6	-46.0179
3725.6	-46.2449
3725.6	-46.1989
3725.6	-46.3568
3725.6	-46.2647
3725.61	-46.2877
3725.61	-46.2713
3725.61	-46.1989
3725.61	-46.2515
3725.61	-46.1758
3725.61	-46.0212
3725.61	-46.0113
3725.61	-46.0179
3725.61	-46.0409
3725.61	-46.0903
3725.62	-46.0541
3725.62	-46.0738
3725.62	-46.0508
3725.62	-46.2022
3725.62	-46.2943
3725.62	-46.4819
3725.62	-46.5345
3725.62	-46.4457
3725.62	-46.4588
3725.62	-46.212
3725.63	-46.0705
3725.63	-45.9389
3725.63	-46.0343
3725.63	-46.0705
3725.63	-46.0212
3725.63	-46.0969
3725.63	-46.189
3725.63	-46.0508
3725.63	-46.291
3725.63	-46.5839
3725.64	-46.6793
3725.64	-46.6003
3725.64	-46.6234
3725.64	-46.5872
